user_id,followers,topics
user_073,1448,"Sustainable Fashion,Street Style,Streetwear"
user_074,2378,Gender-Neutral Fashion
user_075,186,"Luxury Brands,Fashion Week Highlights"
user_076,1258,"Minimalist Fashion,Bohemian Style"
user_077,1426,"Layering Techniques,Monochrome Outfits"
user_078,1726,"Luxury Brands,Fashion NFTs,Ethical Fashion,Gender-Neutral Fashion,Streetwear"
user_079,1510,"Layering Techniques,Capsule Wardrobe,Streetwear,Bohemian Style,Athleisure"
user_080,2277,"Bohemian Style,Gender-Neutral Fashion,Layering Techniques,Fashion Sustainability,Fashion Week Highlights"
user_081,2146,"Minimalist Fashion,High Fashion,Vintage Fashion,Athleisure,Sustainable Fashion"
user_082,1475,"Color Blocking,Ethical Fashion,High Fashion,Sustainable Fashion,Minimalist Fashion"
user_083,2100,"Fashion Hacks,Bohemian Style"
user_084,258,"Fast Fashion,Color Blocking,Vintage Fashion"
user_085,1993,"Fashion Week Highlights,Athleisure Wear,Fashion Resale,Fast Fashion,Street Style"
user_086,1427,"Influencer Style,Layering Techniques,Ethical Fashion"
user_087,505,"Fashion Collaborations,Color Blocking,Monochrome Outfits,Vintage Fashion,Ethical Fashion"
user_088,61,Fashion Resale
user_089,374,"Fashion NFTs,Gender-Neutral Fashion,Influencer Style,Virtual Fashion Shows,Monochrome Outfits"
user_090,986,"Upcycled Fashion,Fashion Week Highlights,Fashion Collaborations,Luxury Brands"
user_091,1845,"Monochrome Outfits,Sustainable Fashion,Color Blocking"
user_092,1979,"Digital Fashion,Luxury Brands,Seasonal Trends,Fashion Collaborations"
user_093,1219,"Fashion Resale,Color Blocking,Fashion Hacks,Layering Techniques,Fashion NFTs"
user_094,195,Color Blocking
user_095,543,Gender-Neutral Fashion
user_096,2423,"Athleisure Wear,Athleisure"
user_097,2452,"Capsule Wardrobe,Digital Fashion"
user_098,60,"Street Style,Fashion Resale"
user_099,721,"Color Blocking,Bohemian Style,Fashion Resale,Gender-Neutral Fashion"
user_100,482,"Bohemian Style,Sustainable Fashion,Capsule Wardrobe,Seasonal Trends"
